custom-tailored;maßgeschneidert
perky;selbstbewusst
fruition [aims, plans, ideas];Verwirklichung {f}
caption;Überschrift {f}
initially;zunächst
deprivation [lack of necessities];Mangel {m}
bare-foot;barfuß
vocational training;Berufsausbildung {f}
offense [Am.];Vergehen {n}
to acquire;erwerben
advantage;Nutzen {m}
to yearn;sich sehnen
lewd;anzüglich
bailout;Notverkauf {m}
pulp;Fruchtfleisch {n}
to forge [shape];formen
to subject sb./sth.;jdn./etw. unterwerfen
actually;in der Tat
amount;Anteil {m}
fray [heated discussion];hitzige Debatte {f}
expired;abgelaufen
wistful;wehmütig
storeys [chiefly Br.];Geschosse {pl}
quarter;Gegend {f} [bes. in Stadt]
to defraud;betrügen
aftermath;Nachwirkung {f}
affidavit;eidesstattliche Erklärung {f}
welder;Schweißgerät {n}
vigil;Nachtwache {f}
to molest sb.;jdn. belästigen
to infatuate;betören [geh.]
lace;Schnur {f}
accolades [awards];Auszeichnungen {pl} [Ehrungen]
to align;anpassen
seasoning;Gewürz {n}
besieged;belagert
offense [Am.];Beleidigung {f}
to crawl;kriechen
adequate;angemessen
scrutiny;Untersuchung {f}
to dry;trocknen
porridge;Brei {m}
peasant [attr.];bäuerlich
referral [to hospital];Einweisung {f} [Krankenhaus]
raspberries;Himbeeren {pl}
to douse;begießen
respite [reprieve];Aufschub {m} [bes. einer Hinrichtung]
to worship;verehren
to dub;nennen
deceptive;irreführend
involuntary homicide;fahrlässige Tötung {f}
trunk [main stem of a tree];Baumstamm {m}
to dismember;zerstückeln [Körper]
at most;höchstens
suburban;vorstädtisch
frantic;verzweifelt
to assume;voraussetzen
to attend sth. [funeral, coronation ceremony etc.];etw. [Dat.] beiwohnen [geh.]
to rev;auf Touren bringen
to vet sb. [esp. Br.] [investigate sb. thoroughly];jdn. durchleuchten [fig.] [gründlich prüfen]
published;erschienen
advice [notification];Anzeige {f} [Benachrichtigung]
to inherit;erben
quote;Angebot {n}
wager;Wette {f}
full preserves;Vollkonserven {pl}
to whine;jammern
obsession;Besessenheit {f}
skirmish;Gefecht {n}
hostile;feindlich
to draft sb. [Am.];jdn. einziehen
whereby;demzufolge
to preserve;erhalten [bewahren]
to cement [fig.];festigen
to weigh in [interpose];sich [Akk.] einschalten [in Debatte etc.]
to conn;ein Schiff steuern
to slump;zusammensacken
cozy [Am.];gemütlich
to insinuate;unterstellen
to perceive;bemerken
to etch;ätzen
clad;bekleidet
to groom sb. [for a job etc.];jdn. aufbauen [für eine Position]
to levitate;frei schweben
bloke [esp. Br.] [coll.];Kerl {m} [ugs.]
vow;Schwur {m} [Gelübde]
gossip;Getratsche {n} [ugs.]
notorious;berüchtigt
Vorspeise {f};appetizer
sanity;Vernunft {f} [geistige Gesundheit]
custody;Haft {f} [vor dem Prozess]
valuable;wertvoll
to nab sb. [coll.] [catch, arrest];jdn. erwischen [ugs.] [festnehmen]
principled;prinzipientreu
How are you doing?;Wie geht es Ihnen? [formelle Anrede]
pulp;Brei {m}
consolation;Trost {m}
cross [annoyed];verärgert
to hold sway over sb.;über jdn. herrschen
exertion;Anstrengung {f}
to retain;behalten
Here we go!;Auf geht's!
ravine;Schlucht {f}
to suffuse sb./sth. [with light, happiness etc.];jdn./etw. erfüllen [mit Licht, Freude etc.]
appropriate;angemessen
blurry;verschwommen
void;nichtig
hike [price hike];Erhöhung {f} [Preis etc.]
to retrieve;wiederfinden
to respond [reply];antworten
quid {pl} [Br.] [coll.];Öcken {pl} [ugs.] [britsche Pfund]
to tamper;sich einmischen
to grope;grabschen [fummeln]
tinder [also fig.];Zunder {m} [auch fig.]
deer;Reh {n}
panel;Forum {n}
to surrender;aufgeben [sich geschlagen geben]
quest;Suche {f}
to wreak havoc;schlimm hausen
detained person;inhaftierte Person {f}
to evolve;entwickeln
to humiliate sb.;jdn. beschämen
